"model","n","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","AIC","effect"
"lm_effort",53,"(Intercept)",0.378106382597598,0.173946769696714,2.17369016542732,0.0344902198797181,0.020300104801338,-0.0188878910066084,-24.9884573606282,NA
"lm_effort",53,"hb_raw",0.0911231921784926,0.141169285104221,0.645488798156191,0.521561769855162,0.020300104801338,-0.0188878910066084,-24.9884573606282,NA
"lm_effort",53,"log_interaction_sum",-0.0301318194790588,0.037417676620932,-0.805283015947672,0.424469426409065,0.020300104801338,-0.0188878910066084,-24.9884573606282,NA
"lm_effort_taxonobs",53,"(Intercept)",0.424187207077728,0.194382814404495,2.18222587411986,0.0339165378898009,0.0262459534215654,-0.0333716412669103,-23.3110971150759,NA
"lm_effort_taxonobs",53,"hb_raw",0.0917006828396783,0.142173043051553,0.644993459177963,0.521940022207929,0.0262459534215654,-0.0333716412669103,-23.3110971150759,NA
"lm_effort_taxonobs",53,"log_interaction_sum",-0.0218204602149804,0.0406308200074311,-0.537042083103161,0.59366893356184,0.0262459534215654,-0.0333716412669103,-23.3110971150759,NA
"lm_effort_taxonobs",53,"log_pollinator_interactions",-0.0356309397906647,0.0651398795298645,-0.546991183401392,0.586867421481527,0.0262459534215654,-0.0333716412669103,-23.3110971150759,NA
"mixed_taxon",53,"(Intercept)",0.436514091194916,0.185418454498379,2.35421060096654,NA,NA,NA,-21.5059796217573,"fixed"
"mixed_taxon",53,"hb_raw",0.0875248616756883,0.135443672905582,0.646208566248065,NA,NA,NA,-21.5059796217573,"fixed"
"mixed_taxon",53,"log_interaction_sum",-0.0236218810745949,0.039275873391459,-0.60143490226577,NA,NA,NA,-21.5059796217573,"fixed"
"mixed_taxon",53,"log_pollinator_interactions",-0.0354670179000926,0.0625277112680875,-0.567220791882623,NA,NA,NA,-21.5059796217573,"fixed"
